config_id,signal_type,entry_second_min,entry_second_max,threshold,duration_filter,total_bets,wins,losses,win_rate_pct,total_pnl,avg_bet_pnl,profit_factor,expected_value,sharpe_ratio,sortino_ratio,max_drawdown,std_dev_pnl,pct_profitable_assets,pct_profitable_durations,consistency_score,q1_pnl,q2_pnl,q3_pnl,q4_pnl,ranking_score,module,momentum_window_sec,velocity_threshold,eval_second,acceleration_enabled,acceleration_threshold,spike_threshold,spike_lookback_window,reversion_reversal_pct,min_reversion_seconds,exit_type,exit_profit_target_pct,exit_time_limit_sec,strategy_type,min_spread,max_spread,volatility_window_sec,volatility_threshold,volatility_direction,spread_expansion_threshold,spread_expansion_window,market_phase,early_cutoff_pct,late_start_pct,min_seconds_remaining,min_win_rate_pct,min_edge_pct,max_exposure_pct,total_signals,filtered_out,filtered_out_pct,strategy_name,combine_logic,has_vol_filter,has_time_filter
M6_0004,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.02,0.02,869.0,783.0,90.1,,,,
M6_0005,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.02,0.05,869.0,783.0,90.1,,,,
M6_0001,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.0,0.02,869.0,783.0,90.1,,,,
M6_0002,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.0,0.05,869.0,783.0,90.1,,,,
M6_0003,,,,,,86,45,41,52.33,9.5062,0.110537,1.5709,0.110537,0.2228,15.7285,3.9556,0.496084,100.0,100.0,90.99,3.327,2.3298,5.324,-1.4746,94.6,Module 6,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.0,0.1,869.0,783.0,90.1,,,,
M2_0454,,,,,,300,130,170,43.33,9.6494,0.032165,1.1596,0.032165,0.069,0.2294,8.2918,0.46631,75.0,100.0,97.41,2.935,2.2742,5.2186,-0.7784,94.33,Module 2,20.0,0.005,60.0,True,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0042,,,,,,772,339,433,43.91,12.9422,0.016765,1.0737,0.016765,0.0346,0.1995,14.1534,0.484944,100.0,50.0,99.06,1.9922,-0.102,10.9946,0.0574,94.26,Module 2,3.0,0.015,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0447,,,,,,92,44,48,47.83,4.4226,0.048072,1.2527,0.048072,0.1023,0.2691,2.6336,0.470073,50.0,50.0,90.82,-0.423,2.6124,1.1054,1.1278,94.12,Module 2,20.0,0.003,60.0,True,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0196,,,,,,81,34,47,41.98,6.8678,0.084788,1.4799,0.084788,0.1765,0.6114,2.77,0.480253,100.0,100.0,93.75,2.3852,0.2506,1.727,2.505,93.92,Module 2,10.0,0.02,120.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0057,,,,,,4473,2111,2362,47.19,26.1412,0.005844,1.0247,0.005844,0.012,0.0731,60.163,0.485781,50.0,100.0,98.97,-14.7738,8.5806,32.9582,-0.6238,93.33,Module 2,5.0,0.001,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0081,,,,,,1272,572,700,44.97,12.8198,0.010078,1.0462,0.010078,0.0215,0.0767,26.5526,0.469329,75.0,50.0,97.6,-3.8402,-9.0064,18.0858,7.5806,93.16,Module 2,5.0,0.008,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
