market_id,asset,duration_minutes,second_entered,entry_price,direction,second_exited,exit_price,actual_result,pnl,outcome,hour
0xafb6b87bf0dc959eb8df71f76bf3d5ad2a575b97617aff6492ed0b1625240e9f,sol,5,4,0.45,Down,300,0.0,Up,-0.45,loss,7
0x7eda8d3d301d491e7cfe461c10b9c8918211c96055e56f0d6e83592885966b54,xrp,5,1,0.36,Down,300,0.0,Up,-0.36,loss,7
0xbba2e3262a9f78136508cad05409f05c327abaf63e84bf85f9446d00ffe61f76,btc,5,21,0.4,Down,300,1.0,Down,0.588,win,7
0x7043f7532c4d2324a39caeb61c70644ea7497edad2cad2d819423c6117185da0,xrp,5,1,0.37,Down,300,0.0,Up,-0.37,loss,7
0x930e3d64dcf6dc4ae91507e15235c17dfb541abc3535872c3d3ecd0095a417cc,eth,5,3,0.45,Down,300,0.0,Up,-0.45,loss,7
0x2230634504ab0cab33057df1ae704a7f59ff3681379e620ec9702499ee2d65d7,eth,5,1,0.37,Down,300,0.0,Up,-0.37,loss,7
0x0e07d7066dbbeceda0e3228356a45183543f1fd0b375e49d84ee257672a91a1b,xrp,5,4,0.4,Down,300,0.0,Up,-0.4,loss,8
0x0372c197f381b7c17935a6740fd260574e1900ab0b85dbb85583fbc49b51578f,eth,5,1,0.38,Down,300,0.0,Up,-0.38,loss,8
0x4699051e92860b37ac473a29353aa0e9bbf60f07eec8e2065f2c57c0c6cf5641,btc,5,1,0.36,Down,300,0.0,Up,-0.36,loss,8
0xd587e5fc3a94a62f321694dad59d7bae589b7064968c59df6d747b07bf6baf23,xrp,15,7,0.44,Down,900,0.0,Up,-0.44,loss,8
0x73b37a43134976dae14a28ac60c8531a231a58bf992889a906254f9977a48544,sol,5,4,0.4,Down,300,1.0,Down,0.588,win,8
0x879f9fe6f38e38d6970a01bde7d46fe5f80face9b2f7204d4a0370af634afbf8,btc,15,1,0.45,Down,900,0.0,Up,-0.45,loss,8
0x0ab4eb85be2e012ca7ffde49bb6a6cf11d54d15a38b4b0dc5d82355098197433,sol,15,1,0.44,Down,900,0.0,Up,-0.44,loss,8
0x82c201d695631f14c803daa5c0b43b7f5dadff3b030ece219865df036da90572,eth,15,3,0.44,Down,900,0.0,Up,-0.44,loss,8
0x0cc31d4792dee1b2a3a040f3c850edbf8063bdc1447e137bd002f05d1186911e,btc,5,6,0.39,Down,300,0.0,Up,-0.39,loss,8
